Date,Name of Payee and Complete Mailing Address,Expenditure Type,Purpose,Candidate,Office Sought,Declaration,Amount,In-Kind Description,Account Code,Form of Payment,Amount of Expenditure,Sum To Date,Committee,Committee Id
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,TERRANCE EVERITT,NC HOUSE DISTRICT 35,Oppose,,,1.0,Electronic Funds Transfer,10903.04,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,JAMES GAILLIARD,NC HOUSE DIST 25,Oppose,,,1.0,Electronic Funds Transfer,12896.01,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,MARY WILLS BODE,NC SENATE DISTRICT 18,Oppose,,,1.0,Electronic Funds Transfer,26349.19,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,CARLA CATALAN DAY,NC HOUSE DIST 74,Oppose,,,1.0,Electronic Funds Transfer,12914.55,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,MARCIA MORGAN,NC SENATE DIST 7,Oppose,,,1.0,Electronic Funds Transfer,14314.38,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,BILL BRAWLEY,NC HOUSE DISTRICT 103,Support,,,1.0,Electronic Funds Transfer,5330.4,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,RICKY HURTADO,NC HOUSE DIST 63,Oppose,,,1.0,Electronic Funds Transfer,8927.8,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,CHRISTY CLARK,NC HOUSE DIST 98,Oppose,,,1.0,Electronic Funds Transfer,13257.09,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,VALERIE JORDAN,NC SENATE 3,Oppose,,,1.0,Electronic Funds Transfer,15751.63,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,LAURA BUDD,NC HOUSE DISTRICT 103,Oppose,,,1.0,Electronic Funds Transfer,5330.4,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/24/2022,"MATCHSTICK MEDIA 88 E. BROAD STREET COLUMBUS, OH 43215",Independent Expenditure,TV AD,LEANNE PIERCE,NEW HANOVER COUNTY COMMISSIONER,Support,,,1.0,Electronic Funds Transfer,70100.0,70100.0,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/14/2022,"UWHARRIE CONSULTING 45322 BYRD RD ALBEMARLE, NC 28001",Independent Expenditure,DIRECT MAIL,MELISSA SWARBRICK,NC HOUSE DISTRICT 48,Support,,,1.0,Electronic Funds Transfer,5285.19,10570.38,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/14/2022,"UWHARRIE CONSULTING 45322 BYRD RD ALBEMARLE, NC 28001",Independent Expenditure,DIRECT MAIL,GARLAND PIERCE,NC HOUSE DISTRICT 48,Oppose,,,1.0,Electronic Funds Transfer,5285.19,10570.38,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/31/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,"$4,225.50",,,Check,16902.03,48071.79,DURHAM FOR ALL,
10/31/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,"$4,225.50",,,Check,16902.03,48071.79,DURHAM FOR ALL,
10/31/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,"$4,225.50",,,Check,16902.03,48071.79,DURHAM FOR ALL,
10/31/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,"$4,225.50",,,Check,16902.03,48071.79,DURHAM FOR ALL,
11/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,"$1,204.02",,,Check,4816.1,48071.79,DURHAM FOR ALL,
11/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,"$1,204.02",,,Check,4816.1,48071.79,DURHAM FOR ALL,
11/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,"$1,204.02",,,Check,4816.1,48071.79,DURHAM FOR ALL,
11/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,WORK HOURS FOR CANVASSING AND FOLLOW UP CALLS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,"$1,204.02",,,Check,4816.1,48071.79,DURHAM FOR ALL,
10/24/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Debit Card,900.0,9184.68,DURHAM FOR ALL,
10/24/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Debit Card,900.0,9184.68,DURHAM FOR ALL,
10/24/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Debit Card,900.0,9184.68,DURHAM FOR ALL,
10/24/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$225.00,,,Debit Card,900.0,9184.68,DURHAM FOR ALL,
10/31/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$176.77,,,Check,530.31,9184.68,DURHAM FOR ALL,
10/31/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$176.77,,,Check,530.31,9184.68,DURHAM FOR ALL,
10/31/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$176.77,,,Check,530.31,9184.68,DURHAM FOR ALL,
11/02/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,9184.68,DURHAM FOR ALL,
11/02/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,9184.68,DURHAM FOR ALL,
11/02/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,9184.68,DURHAM FOR ALL,
11/06/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$306.78,,,Check,920.36,9184.68,DURHAM FOR ALL,
11/06/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$306.78,,,Check,920.36,9184.68,DURHAM FOR ALL,
11/06/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$306.78,,,Check,920.36,9184.68,DURHAM FOR ALL,
11/08/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$354.41,,,Check,1063.24,9184.68,DURHAM FOR ALL,
11/08/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$354.41,,,Check,1063.24,9184.68,DURHAM FOR ALL,
11/08/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$354.41,,,Check,1063.24,9184.68,DURHAM FOR ALL,
09/29/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING & PREP FOR SOCIAL MEDIA ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,"$2,494.38",,,Check,9977.52,26353.66,DURHAM FOR ALL,
09/29/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING & PREP FOR SOCIAL MEDIA ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,"$2,494.38",,,Check,9977.52,26353.66,DURHAM FOR ALL,
09/29/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING & PREP FOR SOCIAL MEDIA ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,"$2,494.38",,,Check,9977.52,26353.66,DURHAM FOR ALL,
09/29/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING & PREP FOR SOCIAL MEDIA ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,"$2,494.38",,,Check,9977.52,26353.66,DURHAM FOR ALL,
10/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING AND PREP FOR SOCIAL MEDIA ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,"$1,591.25",,,Check,6365.03,26353.66,DURHAM FOR ALL,
10/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING AND PREP FOR SOCIAL MEDIA ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,"$1,591.26",,,Check,6365.03,26353.66,DURHAM FOR ALL,
10/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING AND PREP FOR SOCIAL MEDIA ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,"$1,591.25",,,Check,6365.03,26353.66,DURHAM FOR ALL,
10/15/2023,"DURHAM FOR ALL PO BOX 25352 DURHAM, NC 27702",Independent Expenditure,CANVASSING AND PREP FOR SOCIAL MEDIA ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,"$1,591.25",,,Check,6365.03,26353.66,DURHAM FOR ALL,
09/26/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$198.79,,,Debit Card,795.17,4870.77,DURHAM FOR ALL,
09/26/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$198.79,,,Debit Card,795.17,4870.77,DURHAM FOR ALL,
09/26/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$198.79,,,Debit Card,795.17,4870.77,DURHAM FOR ALL,
09/26/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$198.79,,,Debit Card,795.17,4870.77,DURHAM FOR ALL,
09/30/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$72.72,,,Check,290.9,4870.77,DURHAM FOR ALL,
09/30/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$72.72,,,Check,290.9,4870.77,DURHAM FOR ALL,
09/30/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$72.72,,,Check,290.9,4870.77,DURHAM FOR ALL,
09/30/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$72.72,,,Check,290.9,4870.77,DURHAM FOR ALL,
10/05/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/05/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/05/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/05/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/18/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/18/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/18/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/18/2023,"META PLATFORMS INC 1601 WILLOW RD MENLO PARK, CA 94025-1452",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$225.00,,,Check,900.0,4870.77,DURHAM FOR ALL,
10/20/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/20/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/20/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/22/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/22/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/22/2023,"METRO PRODUCTIONS 6005 CHAPEL HILL RD RALEIGH, NC 27607",Independent Expenditure,FACEBOOK & INSTAGRAM ADS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$300.00,,,Check,900.0,1800.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,PRINTING OF CANVASSING FLYERS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$211.00,,,Check,844.0,11604.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,PRINTING OF CANVASSING FLYERS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$211.00,,,Check,844.0,11604.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,PRINTING OF CANVASSING FLYERS,CARL RIST FOR CITY COUNCIL,County/Municipal,Support,$211.00,,,Check,844.0,11604.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,PRINTING OF CANVASSING FLYERS,KHALILAH KARIM FOR CITY COUNCIL,County/Municipal,Support,$211.00,,,Check,844.0,11604.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,GRAPHIC DESIGN FOR SOCIAL MEDIA ADS,LEONARDO WILLIAMS FOR MAYOR,County/Municipal,Support,$450.00,,,Check,1800.0,11604.0,DURHAM FOR ALL,
10/13/2023,"SOLIDARITY STRATEGIES LLC PO BOX 15260 WASHINGTON, DC 20003",Independent Expenditure,GRAPHIC DESIGN FOR SOCIAL MEDIA ADS,JAVIERA CABALLERO FOR CITY COUNCIL,County/Municipal,Support,$450.00,,,Check,1800.0,11604.0,DURHAM FOR ALL,
